Question Number,Difficulty Level,Question,Option A,Option B,Option C,Correct Answer,Hint,,,,,,,,,,,,,,,,,,
1,Easy,What is the term for the original amount of money borrowed in a loan?,Interest,Principal,Collateral,B,Think about the core sum of money before any fees or costs are added.,,,,,,,,,,,,,,,,,,
2,Easy,What is the cost of borrowing money called?,Principal,Loan Term,Interest,C,It's the additional amount you pay back on top of the principal.,,,,,,,,,,,,,,,,,,
3,Easy,Which of the following is an example of collateral for a loan?,A borrower's signature,A car,A good credit score,B,This is a valuable asset used to secure the loan.,,,,,,,,,,,,,,,,,,
4,Easy,A loan that requires collateral is known as what type of loan?,An unsecured loan,A secured loan,A revolving loan,B,The loan is 'secured' by a physical asset.,,,,,,,,,,,,,,,,,,
5,Easy,Which of the following is typically a fixed expense?,Variable-rate mortgage payment,Credit card balance,Fixed-rate car loan payment,C,This type of expense doesn't change over the loan's life.,,,,,,,,,,,,,,,,,,
6,Easy,What is a loan term?,The total interest paid,The length of time you have to repay the loan,The amount of each monthly payment,B,This refers to the duration of the repayment period.,,,,,,,,,,,,,,,,,,
7,Easy,What is the main purpose of a credit score?,To track your spending habits,To determine your eligibility for a loan,To set your monthly budget,B,This score is used by lenders to assess risk.,,,,,,,,,,,,,,,,,,
8,Easy,What is a co-signer on a loan?,Someone who pays the loan for you,Someone who provides collateral,Someone who agrees to be responsible for the loan if you cannot pay,C,They share the legal responsibility for the debt.,,,,,,,,,,,,,,,,,,
9,Easy,Which of these is a type of installment loan?,A credit card,A personal loan,A line of credit,B,You repay this loan in a series of equal- scheduled payments.,,,,,,,,,,,,,,,,,,
10,Easy,What does a loan's interest rate determine?,The total amount of money borrowed,The speed at which you must repay the loan,The percentage charged on the principal,C,This is the rate at which the cost of borrowing is calculated.,,,,,,,,,,,,,,,,,,
11,Easy,What is a down payment?,The first payment you make on a loan,The final payment you make on a loan,A portion of the purchase price paid upfront,C,It's an initial payment that reduces the amount you need to borrow.,,,,,,,,,,,,,,,,,,
12,Easy,Which type of interest is calculated on both the initial principal and the accumulated interest from previous periods?,Simple interest,Compound interest,Fixed interest,B,This type of interest can lead to exponential growth.,,,,,,,,,,,,,,,,,,
13,Easy,What is a grace period?,A period where you don't have to make any payments,The time after a payment is due before a late fee is charged,A period of time where the loan is interest-free,B,This provides a short window to pay without penalty.,,,,,,,,,,,,,,,,,,
14,Easy,What is an 'asset' in the context of lending?,A bank account,Something of value owned by a person or company,The total amount of a loan,B,It's anything valuable that could be used as collateral.,,,,,,,,,,,,,,,,,,
15,Easy,Which type of loan is most likely to be used for buying a home?,A personal loan,A credit card loan,A mortgage loan,C,This type of loan is specifically designed for real estate.,,,,,,,,,,,,,,,,,,
16,Easy,What is a credit report?,A summary of a person's loan and credit history,A report on a company's financial health,A document showing your annual income,A,This document details your past borrowing and repayment behavior.,,,,,,,,,,,,,,,,,,
17,Easy,What does the 'term' of a loan refer to?,The total amount of interest paid,The duration of the loan agreement,The conditions and rules of the loan,B,It is the length of time over which you must repay the debt.,,,,,,,,,,,,,,,,,,
18,Easy,What does 'defaulting' on a loan mean?,Paying it off early,Failing to make payments as agreed,Asking for an extension on the payment due date,B,This action can have serious negative consequences for your credit.,,,,,,,,,,,,,,,,,,
19,Easy,Which of these is considered a revolving line of credit?,A car loan,A student loan,A credit card,C,The amount you can borrow is replenished as you repay it.,,,,,,,,,,,,,,,,,,
20,Easy,What is the main difference between a secured and unsecured loan?,Interest rate,Collateral requirement,Loan term,B,One requires an asset to be pledged- the other does not.,,,,,,,,,,,,,,,,,,
21,Easy,What is a 'lender'?,The person or institution that borrows money,The person or institution that provides money for a loan,The person who guarantees a loan,B,They are the ones providing the funds.,,,,,,,,,,,,,,,,,,
22,Easy,What is a 'borrower'?,The person who provides money for a loan,The person who repays a loan early,The person who receives money in a loan,C,This individual or entity is the recipient of the funds.,,,,,,,,,,,,,,,,,,
23,Easy,What is the purpose of a debt-to-income ratio?,To calculate your total income,To measure your credit score,To assess your ability to manage monthly payments,C,This ratio is a key metric lenders use to determine your capacity to pay back a loan.,,,,,,,,,,,,,,,,,,
24,Easy,Which factor is most likely to result in a higher interest rate?,A high credit score,A short loan term,A low credit score,C,Your credit history and score are a major factor in determining your risk to the lender.,,,,,,,,,,,,,,,,,,
25,Easy,What is the purpose of an 'origination fee'?,A penalty for paying off a loan early,A fee charged by the lender for processing a loan application,A fee for late payment,B,This is a cost associated with setting up the loan.,,,,,,,,,,,,,,,,,,
26,Easy,What does 'refinancing' a loan mean?,Paying off an existing loan early,Taking out a new loan to replace an old one,Getting an extension on a loan term,B,It's the process of replacing one loan with a new one- often with different terms.,,,,,,,,,,,,,,,,,,
27,Easy,What is a 'fixed-rate' loan?,A loan where the interest rate can change over time,A loan where the interest rate remains the same throughout the loan term,A loan that has no interest rate,B,The rate is 'fixed' and does not fluctuate.,,,,,,,,,,,,,,,,,,
28,Easy,What is a 'variable-rate' loan?,A loan with a constant interest rate,A loan with an interest rate that changes over time,A loan with no interest,B,The interest rate is subject to change based on market conditions.,,,,,,,,,,,,,,,,,,
29,Easy,Which of the following would typically have the highest interest rate?,A credit card,A home mortgage,A student loan,A,This form of borrowing is generally considered high-risk for the lender.,,,,,,,,,,,,,,,,,,
30,Easy,What is the purpose of a loan application?,To get a copy of your credit report,To provide a lender with information to evaluate your creditworthiness,To make a payment on a loan,B,This is the initial step in the borrowing process.,,,,,,,,,,,,,,,,,,
31,Medium,APR stands for Annual Percentage Rate. What does it include besides the interest rate?,Principal and loan term,All costs associated with the loan, only the interest rate,C,It gives you a more complete picture of the total cost of borrowing.,,,,,,,,,,,,,,,,,,
32,Medium,How does an amortization schedule help a borrower?,It shows how the interest rate will change,It breaks down each payment into principal and interest,It provides a list of all penalties and fees,B,The schedule shows how your payments reduce your principal over time.,,,,,,,,,,,,,,,,,,
33,Medium,If you make a larger-than-required payment on a simple interest loan- what is the immediate effect?,It increases your next required payment,It only reduces the amount of interest you'll pay,It reduces your principal balance,C,The extra amount goes directly to paying down the core debt.,,,,,,,,,,,,,,,,,,
34,Medium,Which of the following would be an advantage of a fixed-rate loan?,Predictable payments,Potentially lower total interest costs,Lower starting interest rate,A,This feature provides stability and certainty for your budget.,,,,,,,,,,,,,,,,,,
35,Medium,What does it mean if a loan is 'underwritten'?,The loan has been fully paid off,The lender has approved the loan application,The borrower has defaulted on the loan,B,This is the process of a lender analyzing and verifying a loan application.,,,,,,,,,,,,,,,,,,
36,Medium,The 'prime rate' is often a benchmark for variable-rate loans. Who sets the prime rate?,The Federal Reserve,Individual banks,The U.S. Treasury,B,This rate is the basis for interest rates on many variable loans.,,,,,,,,,,,,,,,,,,
37,Medium,How can a borrower reduce their total interest cost on an installment loan?,By paying only the minimum payment each month,By extending the loan term,By making extra payments toward the principal,C,Reducing the principal balance faster lowers the total amount of interest that can accrue.,,,,,,,,,,,,,,,,,,
38,Medium,What is the term for a loan payment that is deliberately small at the beginning and then increases over time?,Interest-only payment,Adjustable-rate payment,Graduated payment,C,The payments 'graduate' or grow over the life of the loan.,,,,,,,,,,,,,,,,,,
39,Medium,A borrower has a debt-to-income ratio of $40\%$. What does this mean?,Their total debt is $40\%$ of their income,Their monthly debt payments are $40\%$ of their gross monthly income,They owe $40\%$ of their income to a single lender,B,This ratio is a calculation of your monthly debt obligations versus your monthly earnings.,,,,,,,,,,,,,,,,,,
40,Medium,What is a 'loan covenant'?,A promise made by the borrower,A legal agreement between the borrower and the lender,A penalty for late payments,B,This is a condition that must be met by the borrower as part of the loan agreement.,,,,,,,,,,,,,,,,,,
41,Medium,What is the primary risk associated with a variable-rate loan?,The loan term may be extended,The interest rate could increase,The principal amount could increase,B,Fluctuations in the market could make your payments go up.,,,,,,,,,,,,,,,,,,
42,Medium,A 'grace period' is most commonly associated with what type of lending?,Credit cards,Mortgages,Car loans,A,This is a common feature that gives you a short time to pay without penalty after the due date.,,,,,,,,,,,,,,,,,,
43,Medium,What is the difference between simple and compound interest?,Compound interest is only charged on the principal,Simple interest is only charged on the principal,They are the same,B,Compound interest also includes interest on previously accumulated interest.,,,,,,,,,,,,,,,,,,
44,Medium,What is a 'line of credit'?,A loan with a fixed repayment schedule,A flexible loan that allows a borrower to withdraw funds as needed,A loan used for a specific  one-time purchase,B,Think of it as a pool of money you can access up to a certain limit.,,,,,,,,,,,,,,,,,,
45,Medium,How does a higher down payment affect a mortgage?,It increases the loan principal,It decreases the loan principal,It has no effect on the loan principal,B,Paying more upfront reduces the amount you need to borrow.,,,,,,,,,,,,,,,,,,
46,Medium,What is the main benefit of an interest-only loan?,You only pay interest and not principal,Lower monthly payments initially,No repayment is ever required,B,This type of loan results in smaller payments for a set period.,,,,,,,,,,,,,,,,,,
47,Medium,What is a key difference between a loan and a grant?,Loans are for a specific purpose only,Loans must be repaid,Grants must be repaid,B,One provides funds that must be returned- the other does not.,,,,,,,,,,,,,,,,,,
48,Medium,What is a 'lender's margin' in a variable-rate loan?,The maximum interest rate allowed,The fixed percentage added to the index rate,The total amount of interest paid,B,It's the portion of the interest rate that the lender earns as profit.,,,,,,,,,,,,,,,,,,
49,Medium,Which document outlines the terms and conditions of a loan?,An amortization schedule,A credit report,A promissory note,C,This is the legal document that formalizes the debt agreement.,,,,,,,,,,,,,,,,,,
50,Medium,What is a 'prepayment penalty'?,A fee charged for paying off a loan before the end of its term,A fee charged for late payments,A fee charged for applying for a loan,A,This is a fee for paying back the loan too early.,,,,,,,,,,,,,,,,,,
51,Medium,What is the main advantage of a fixed-rate mortgage over a variable-rate one?,The interest rate will never increase,The monthly payment will always be lower,It is easier to qualify for,A,This provides certainty and protection against rising rates.,,,,,,,,,,,,,,,,,,
52,Medium,What is a 'home equity line of credit' (HELOC)?,A line of credit secured by the borrower's home,An unsecured loan,A loan with a fixed repayment schedule,A,This is a revolving loan that uses the equity in your home as collateral.,,,,,,,,,,,,,,,,,,
53,Medium,What does 'collateral' protect the lender from?,Loan default,Interest rate changes,A decrease in the borrower's income,A,The lender can seize this asset if the borrower fails to repay the loan.,,,,,,,,,,,,,,,,,,
54,Medium,Which of these is a form of subsidized student loan?,A loan where the government pays the interest while the student is in school,A loan that does not have an interest rate,A loan that requires no repayment,A,This benefit can significantly reduce the total cost of the loan.,,,,,,,,,,,,,,,,,,
55,Medium,What is the purpose of 'loan underwriting'?,To determine if a loan is a good investment for the lender,To create a repayment plan for the borrower,To calculate the total cost of a loan,A,This process involves evaluating the risk of lending to a specific borrower.,,,,,,,,,,,,,,,,,,
56,Medium,What does a loan's 'floor' and 'ceiling' refer to?,The maximum and minimum principal amount,The maximum and minimum interest rate,The maximum and minimum loan term,B,These terms set the upper and lower limits on the interest rate.,,,,,,,,,,,,,,,,,,
57,Medium,What is a 'loan modification'?,A complete cancellation of a loan,A change in the terms of an existing loan,A new loan taken out to replace an old one,B,This is an adjustment to the original loan agreement- often to help a borrower in financial distress.,,,,,,,,,,,,,,,,,,
58,Medium,How does a borrower's credit history affect their loan application?,It has no effect on the application,It is used to calculate the loan's interest rate,It is used to determine if the borrower is a reliable credit risk,C,A strong credit history demonstrates a pattern of responsible borrowing.,,,,,,,,,,,,,,,,,,
59,Medium,What is the effect of making a lump-sum principal payment on a loan with an amortization schedule?,It shortens the loan term and reduces total interest paid,It only reduces the monthly payment,It has no effect on the loan,A,This action accelerates the repayment process.,,,,,,,,,,,,,,,,,,
60,Medium,What is the main benefit of a simple interest loan?,The interest is not compounded,It is typically a larger loan amount,It is easier to qualify for,A,The interest is only calculated on the original principal balance.,,,,,,,,,,,,,,,,,,
61,Hard,A 'loan shark' is a term for an illegal- high-interest lender. What is their primary advantage over a legal lender?,They don't have to follow consumer protection laws,They offer much lower interest rates,They are more transparent about their fees,A,This allows them to charge exorbitant rates without regulation.,,,,,,,,,,,,,,,,,,
62,Hard,What is 'securitization' in the context of lending?,The process of getting a secured loan,The practice of lenders selling their loans to investors,The act of using an asset as collateral,B,It's the process of bundling debt and selling it as a financial product.,,,,,,,,,,,,,,,,,,
63,Hard,In the context of lending- what is a 'call option'?,The ability for the borrower to call the lender at any time,The right of the lender to demand early repayment of the loan,The right of the borrower to refinance the loan,B,This gives the lender the power to demand early repayment.,,,,,,,,,,,,,,,,,,
64,Hard,What is a 'subprime' loan?,A loan for a borrower with a perfect credit score,A loan with a very low interest rate,A loan to a high-risk borrower with a poor credit history,C,These loans are offered to borrowers who may not qualify for conventional loans.,,,,,,,,,,,,,,,,,,
65,Hard,The 'Truth in Lending Act' requires lenders to disclose what?,The full name and address of the lender,The age of the borrower,The APR and total cost of a loan,C,This law is designed to ensure transparency in lending.,,,,,,,,,,,,,,,,,,
66,Hard,In a loan with a 'negative amortization' feature- what happens to the principal balance?,It increases over time,It decreases over time,It stays the same,A,The monthly payments are not large enough to cover the interest- so the unpaid interest is added to the principal.,,,,,,,,,,,,,,,,,,
67,Hard,What does the 'Federal Reserve' typically do to combat inflation?,Increase interest rates,Decrease interest rates,Print more money,A,Increasing the federal funds rate makes borrowing more expensive- which slows down the economy.,,,,,,,,,,,,,,,,,,
