Question Number,Difficulty Level,Topic,Question,Option A,Option B,Option C,Correct Answer,Correct Answer Commentary,Incorrect Answer Commentary,Hint
1,Easy,लोन की बेसिक बातें,लोन में उधार ली गई मूल रकम को क्या कहते हैं?,ब्याज,मूलधन (Principal),गिरवी (Collateral),B,बिलकुल सही! मूलधन वह असली रक़म है जो आप ब्याज या फीस जुड़ने से पहले उधार लेते हैं। यह आपके पूरे लोन का आधार है।,"असल में, मूलधन वह शुरूआती रकम है जो आप उधार लेते हैं। इसे समझने से आपको यह जानने में मदद मिलती है कि इसके ऊपर ब्याज की गणना कैसे की जाती है।",उस बेस अमाउंट के बारे में सोचें जिसमें कुछ और नहीं जोड़ा गया है।
2,Easy,लोन की बेसिक बातें,पैसे उधार लेने की लागत को क्या कहते हैं?,मूलधन,लोन की अवधि,ब्याज (Interest),C,एकदम सही! ब्याज वह चार्ज है जो लेंडर (उधार देने वाला) आपको पैसे उधार देने के लिए लेता है। यह असल में उधार लेने की कीमत है जो आप चुकाते हैं।,"ब्याज, पैसे उधार लेने का अतरिक्त खर्च है। मूलधन वही रहता है - ब्याज वह है जो उसके ऊपर जोड़ा जाता है।",यह वह अतरिक्त रकम है जो आप मूलधन के ऊपर चुकाते हैं।
3,Easy,लोन की बेसिक बातें,इनमें से कौन सा लोन के लिए गिरवी (collateral) रखने का एक उदाहरण है?,उधार लेने वाले का दस्तखत (signature),एक कार,एक अच्छा क्रेडिट स्कोर,B,"बहुत बढ़िया! एक कार एक भौतिक संपत्ति (physical asset) है जो लोन को सुरक्षित कर सकती है। अगर आप पैसे नहीं चुकाते हैं, तो लेंडर आपकी कार ले सकता है।",गिरवी (Collateral) के लिए कोई कीमती और भौतिक चीज़ होनी चाहिए जिसे लेंडर तब ले सके जब आप पैसे नहीं चुकाते। एक दस्तखत गिरवी नहीं है - एक कार है।,यह एक कीमती संपत्ति है जिसका इस्तेमाल लोन को सुरक्षित करने के लिए किया जाता है।
4,Medium,लोन की बेसिक बातें,आसान शब्दों में 'amortization' (अमॉर्टाइज़ेशन) क्या है?,समय के साथ लोन चुकाने की प्रक्रिया,एक तरह का ब्याज दर,जल्दी पेमेंट करने पर लगने वाली पेनल्टी,A,सही पकड़े! 'Amortization' यह तय करता है कि आपके लोन की पेमेंट कई सालों में कैसे बंटेगी। हर पेमेंट आपके बकाये को थोड़ा-थोड़ा कम करती है।,'Amortization' समय के साथ पेमेंट करने का एक शेड्यूल है। यह कोई पेनल्टी या दर नहीं है - यह पूरे लोन को धीरे-धीरे चुकाने का एक प्लान है।,यह बताता है कि आपके लोन की पेमेंट कैसे तय की जाती है और सालों में बांटी जाती है।
5,Medium,लोन की बेसिक बातें,लोन 'default' (डिफ़ॉल्ट) करने का क्या मतलब है?,कम पेमेंट के लिए बातचीत करना,तय शर्तों के हिसाब से पैसे न चुका पाना,लोन को रीफाइनेंस कराना,B,आप समझ गए! डिफ़ॉल्ट करने का मतलब है कि आपने पेमेंट न करके लोन एग्रीमेंट को तोड़ा है। इसका आपके क्रेडिट पर गंभीर परिणाम होता है।,डिफ़ॉल्ट तब होता है जब आप वादे के मुताबिक पेमेंट करना बंद कर देते हैं। यह बातचीत करने या रीफाइनेंस करने के बारे में नहीं है - यह एग्रीमेंट तोड़ने के बारे में है।,यह तब होता है जब उधार लेने वाले अपनी पेमेंट की शर्तों को पूरा नहीं करते हैं।
6,Hard,लोन की बेसिक बातें,"10 साल के फिक्स्ड-रेट लोन बनाम वेरिएबल-रेट लोन में, अगर ब्याज दरें गिरती हैं तो आमतौर पर कुल मिलाकर कौन सा सस्ता पड़ेगा?",फिक्स्ड-रेट लोन,वेरिएबल-रेट लोन,यह लेंडर (उधार देने वाले) पर निर्भर करता है,B,"बढ़िया विश्लेषण! गिरती दरों के साथ, वेरिएबल-रेट लोन आपके पैसे बचाता है क्योंकि आपकी दर कम हो जाती है। फिक्स्ड-रेट वही रहता है।","अगर दरें गिरती हैं, तो वेरिएबल-रेट लोन सस्ता हो जाता है क्योंकि समय के साथ आपकी ब्याज दर घट जाती है। फिक्स्ड-रेट वहीं लॉक रहता है।",सोचिए कि जब बाज़ार में ब्याज दरें नीचे जाती हैं तो क्या होता है।
7,Easy,लेंडर क्या देखते हैं,जब आप लोन के लिए अप्लाई करते हैं तो लेंडर मुख्य रूप से क्या देखते हैं?,आपकी उम्र,आपकी इनकम कितनी स्थिर है और आपकी क्रेडिट हिस्ट्री,आपका मैरिटल स्टेटस (शादीशुदा हैं या नहीं),B,बिलकुल सही! लेंडर्स को सबसे ज्यादा इस बात की चिंता होती है कि आप पैसे चुका सकते हैं या नहीं। आपकी इनकम और क्रेडिट हिस्ट्री साबित करती है कि आप भरोसेमंद हैं।,लेंडर्स को यह जानना होता है कि क्या आप सच में पैसे वापस चुका सकते हैं। इनकम स्थिरता और क्रेडिट हिस्ट्री आपका ट्रैक रिकॉर्ड दिखाते हैं।,लेंडर्स को यह जानना होता है कि आप पैसे चुका सकते हैं या नहीं।
8,Easy,लेंडर क्या देखते हैं,'Debt-to-income ratio' (कर्ज-से-आय अनुपात) क्या है?,आपकी कुल संपत्ति,आपकी कुल इनकम की तुलना में आपके हर महीने के कर्ज की पेमेंट,आपके सेविंग्स अकाउंट का बैलेंस,B,"परफेक्ट! यह अनुपात लेंडर्स को दिखाता है कि आपकी इनकम का कितना हिस्सा कर्ज में जाता है। अगर यह बहुत ज्यादा है, तो आप रिस्की माने जाते हैं।",'Debt-to-income' (DTI) अनुपात आपकी महीने की इनकम की तुलना में आपके महीने के कर्ज की पेमेंट है। लेंडर इसका इस्तेमाल यह देखने के लिए करते हैं कि कहीं आप पर कर्ज का बोझ ज़्यादा तो नहीं है।,लेंडर इसका इस्तेमाल यह देखने के लिए करते हैं कि आप नया कर्ज चुका पाएंगे या नहीं।
9,Easy,लेंडर क्या देखते हैं,लेंडर आपकी एम्प्लॉयमेंट हिस्ट्री (नौकरी का इतिहास) क्यों चेक करते हैं?,"बस ऐसे ही, जानने के लिए",इनकम की स्थिरता जांचने के लिए,आपकी पर्सनालिटी को आंकने के लिए,B,सही पकड़े! स्थिर नौकरी का मतलब है भरोसेमंद इनकम। जल्दी-जल्दी नौकरी बदलने से लेंडर्स को खतरे का अंदेशा होता है।,एम्प्लॉयमेंट हिस्ट्री लेंडर्स को दिखाती है कि आपकी इनकम स्थिर और भरोसेमंद है या नहीं। एक पक्की नौकरी एक बहुत बड़ा प्लस पॉइंट है।,स्थिर नौकरी का मतलब है भरोसेमंद इनकम।
10,Medium,लेंडर क्या देखते हैं,'Co-signer' (सह-हस्ताक्षरकर्ता) क्या होता है और आपको इसकी ज़रूरत क्यों पड़ सकती है?,कोई जो आपके लिए लोन चुकाता है,कोई जो सहमत होता है कि अगर आप डिफ़ॉल्ट करते हैं (पैसे नहीं चुकाते) तो वह कानूनी तौर पर जिम्मेदार होगा,आपका अकाउंटेंट,B,आप समझ गए! एक 'co-signer' जिम्मेदारी लेता है अगर आप पेमेंट नहीं कर पाते हैं। वे अपने खुद के क्रेडिट के साथ आपकी गारंटी दे रहे हैं।,'Co-signer' वह होता है जिसका क्रेडिट आपसे बेहतर होता है और जो वादा करता है कि अगर आप पैसे नहीं चुकाएंगे तो वह चुकाएगा। वे आपके लिए अपनी साख दांव पर लगा रहे हैं।,वे कर्ज के लिए कानूनी जिम्मेदारी शेयर करते हैं।
11,Medium,लेंडर क्या देखते हैं,ज्यादा डाउन पेमेंट देने से आपके लोन अप्रूवल के चांस पर क्या असर पड़ता है?,यह आपके चांस को कम कर देता है,यह आपके चांस को बढ़ाता है और आपके लोन की रकम को कम करता है,इसका कोई असर नहीं पड़ता,B,सही! एक बड़ी डाउन पेमेंट आपकी गंभीरता (commitment) दिखाती है और आपको कम उधार लेने की ज़रूरत पड़ती है। लेंडर्स को यह पसंद आता है।,शुरू में ज्यादा पैसे देने का मतलब है कि आप कम उधार लेते हैं और लेंडर का रिस्क कम होता है। इससे अप्रूवल मिलने की संभावना ज्यादा होती है।,शुरू में ज्यादा पेमेंट करने से आपको कम उधार लेने की ज़रूरत पड़ती है।
12,Hard,लेंडर क्या देखते हैं,"अगर दो एप्लिकेंट (आवेदकों) का क्रेडिट स्कोर एक जैसा है, लेकिन 'debt-to-income' (DTI) अनुपात अलग-अलग है, तो किसे अप्रूवल मिलने की संभावना ज्यादा है?",जिसका DTI ज्यादा है,जिसका DTI कम है,दोनों के चांस बराबर हैं,B,बढ़िया सोच! कम DTI का मतलब है कि आपकी इनकम का ज्यादा हिस्सा फ्री है। लेंडर उन एप्लिकेंट को पसंद करते हैं जिनके पास नया कर्ज चुकाने की गुंजाइश होती है।,"जब DTI कम होता है, तो आपके पास मौजूदा कर्ज चुकाने के बाद ज्यादा इनकम बची होती है। यह आपको नए लोन के लिए एक सुरक्षित दावेदार बनाता है।",सोचिए कि मौजूदा कर्ज चुकाने के बाद किस व्यक्ति के पास ज्यादा इनकम बचती है।
13,Easy,क्रेडिट स्कोर,आम तौर पर क्रेडिट स्कोर की रेंज क्या होती है?,0-100,300-850,500-1000,B,"सही! क्रेडिट स्कोर 300 से 850 के बीच होता है। जितना ज्यादा हो, उतना अच्छा, और 750 से ऊपर का स्कोर बेहतरीन माना जाता है।",क्रेडिट स्कोर का पैमाना 300 से 850 तक जाता है। इस रेंज को जानने से आपको यह समझने में मदद मिलती है कि आप कहां खड़े हैं।,यह रेंज कम से शुरू होती है और 850 तक जाती है।
14,Easy,क्रेडिट स्कोर,आपके क्रेडिट स्कोर का कितना प्रतिशत आपकी पेमेंट हिस्ट्री से आता है?,15%,35%,65%,B,एकदम सही! पेमेंट हिस्ट्री आपके स्कोर में सबसे बड़ा फैक्टर है। एक बार भी देर से पेमेंट करना आपको काफी नुकसान पहुंचा सकता है।,पेमेंट हिस्ट्री सबसे ज्यादा मायने रखती है क्योंकि यह लेंडर्स को दिखाती है कि आप वादे के मुताबिक पेमेंट करते हैं या नहीं। यह आपके स्कोर का 35% है।,यह आपके स्कोर में सबसे महत्वपूर्ण फैक्टर है।
15,Medium,क्रेडिट स्कोर,देर से पेमेंट जैसी निगेटिव चीजें आपकी क्रेडिट रिपोर्ट पर कितने समय तक रहती हैं?,1 साल,3 साल,7 साल,C,"आप समझ गए! ज्यादातर निगेटिव चीजें, जिनमें छूटी हुई पेमेंट भी शामिल हैं, 7 साल तक रहती हैं। इसलिए इनसे बचना इतना मायने रखता है।",देर से पेमेंट जैसे निगेटिव निशान आपको 7 साल तक परेशान कर सकते हैं। यही वजह है कि पेमेंट को लेकर सावधान रहना बहुत ज़रूरी है।,ज्यादातर निगेटिव चीजें इतने समय तक बनी रहती हैं।
16,Medium,क्रेडिट स्कोर,'Credit utilization' (क्रेडिट यूटिलाइज़ेशन) क्या है और कितना अच्छा माना जाता है?,अपनी लिमिट का 80% इस्तेमाल करना,अपने उपलब्ध क्रेडिट का 30% या उससे कम इस्तेमाल करना,अपनी लिमिट का 100% इस्तेमाल करना,B,परफेक्ट! 30% से कम 'utilization' रखना यह दिखाता है कि आप क्रेडिट के लिए बेताब नहीं हैं। यह सबसे स्मार्ट मनी मूव्स में से एक है।,30% से कम 'credit utilization' यह संकेत देता है कि आप क्रेडिट को जिम्मेदारी से मैनेज कर रहे हैं। इससे ऊपर जाने पर आप लेंडर्स को रिस्की लगते हैं।,"लेंडर इस अनुपात को कम देखना पसंद करते हैं, आदर्श रूप से 30% से कम।"
17,Hard,क्रेडिट स्कोर,"अगर आप 'collections' (कलेक्शन) अकाउंट का पूरा पेमेंट कर देते हैं, तो क्या आपका क्रेडिट स्कोर तुरंत सुधर जाता है?","हां, तुरंत","नहीं, लेकिन यह आपके भविष्य की साख (creditworthiness) में मदद करता है",कलेक्शन से स्कोर हमेशा गिरता है,B,"स्मार्ट समझ! कलेक्शन का पेमेंट करने से मदद मिलती है, लेकिन निगेटिव निशान आपकी रिपोर्ट पर बना रहता है। हालांकि, भविष्य के लेंडर यह देख पाते हैं कि आपने पेमेंट कर दी थी।","कलेक्शन का पेमेंट करना अच्छा है, लेकिन यह हिस्ट्री को नहीं मिटाता है। मायने यह रखता है कि आप अपने भविष्य के लिए अभी सही काम कर रहे हैं।",सोचिए कि क्या पुराना कर्ज चुका देने से अतीत मिट जाता है।
18,Easy,क्रेडिट के अलावा दूसरे फैक्टर,क्रेडिट स्कोर के अलावा लेंडर और क्या देखते हैं?,आपका पसंदीदा रंग,"इनकम, नौकरी का इतिहास और कर्ज का लेवल",आपकी सोशल मीडिया उपस्थिति,B,सही! लेंडर्स को आपके क्रेडिट स्कोर के अलावा आपकी फाइनेंसियल स्थिरता की भी परवाह होती है। ये फैक्टर एक पूरी तस्वीर पेश करते हैं।,लेंडर किसी व्यक्ति को फाइनेंसियल तौर पर समग्र रूप से देखते हैं। आपकी नौकरी की स्थिरता और मौजूदा कर्ज भी उतने ही मायने रखते हैं जितना आपका क्रेडिट स्कोर।,फाइनेंसियल स्थिरता क्रेडिट से भी ज्यादा मायने रखती है।
19,Easy,क्रेडिट के अलावा दूसरे फैक्टर,लेंडर्स के लिए नौकरी की स्थिरता (employment stability) क्यों ज़रूरी है?,उन्हें आपकी नौकरी पसंद है,यह पेमेंट करने के लिए लगातार इनकम का संकेत देता है,यह ज़रूरी नहीं है,B,एकदम सही! पक्की नौकरी का मतलब है भरोसेमंद इनकम। लेंडर्स को भरोसा होता है कि आप हर महीने की पेमेंट संभाल सकते हैं।,एक स्थिर नौकरी का मतलब है कि आपकी तनख्वाह भरोसेमंद है। यह लेंडर्स के लिए यह तय करने में बहुत बड़ी बात है कि आप असल में लोन चुका सकते हैं या नहीं।,पक्की नौकरी का मतलब है भरोसेमंद पेमेंट।
20,Medium,क्रेडिट के अलावा दूसरे फैक्टर,मॉर्गेज (गिरवी) में 'loan-to-value' (LTV) अनुपात क्या है?,लोन की कीमत,लोन की रकम और प्रॉपर्टी की कीमत के बीच का संबंध,आपकी उम्र,B,परफेक्ट! LTV लेंडर को दिखाता है कि इस डील में आपका खुद का कितना लगा है। कम LTV का मतलब है कि लेंडर के लिए कम रिस्क है।,LTV इस बात की तुलना करता है कि आप कितना उधार ले रहे हैं और प्रॉपर्टी की कीमत कितनी है। कम अनुपात का मतलब है कि आपकी इक्विटी (हिस्सेदारी) ज्यादा है और लेंडर कम रिस्क लेता है।,यह दिखाता है कि लेंडर कितना रिस्क ले रहा है।
